id,name
1,处理者
1.1,身份
1.2,联系方式
1.2.1,电话号码
1.2.2,电子邮箱
1.2.3,法律地址
2,处理代表
2.1,身份
2.2,联系方式
2.2.1,电话号码
2.2.2,电子邮箱
2.2.3,法律地址
3,个人信息保护负责人
3.1,身份
3.2,联系方式
3.2.1,电话号码
3.2.2,电子邮箱
3.2.3,法律地址
4,个人信息收集与使用
4.1,处理的个人信息类别
4.1.1,常规个人信息
4.1.2,敏感个人信息
4.2,个人信息来源
4.2.1,直接主动
4.2.2,直接被动
4.2.3,间接
4.3,处理目的
4.4,处理方式
4.5,敏感信息处理
4.6,合法依据
4.6.1,个人同意
4.6.2,合同必需
4.6.3,法定义务
4.6.4,重大事件
4.6.5,公共利益
4.6.6,公开信息
4.6.7,其他法规要求
5,个人信息分享
5.1,接收方
5.2,情形
5.2.1,共同处理
5.2.2,委托处理
5.2.3,合并分立
5.2.4,个人单独同意
6,数据主体权利
6.1,知情权
6.1.1,政策更新
6.1.2,数据泄露通知
6.1.3,其他
6.2,获取权
6.3,修改权
6.4,删除权
6.5,限制权
6.6,拒绝权
6.7,转移权
6.8,自动决策权
6.9,撤回同意权
6.10,死者个人信息权益
7,投诉
7.1,响应时间
7.2,所需材料
7.3,拒绝情形
8,个人信息处理原则
8.1,明确合理目的
8.2,数据最小化
9,个人信息跨境传输
9.1,情形
9.1.1,安全评估
9.1.2,个人信息保护认证
9.1.3,合同
9.1.4,法律规定的其他条件
9.2,接收方
9.2.1,身份
9.2.2,联系方式
9.3,处理目的
9.4,处理方式
9.5,处理的个人信息类别
9.6,数据主体行使权利方式
10,数据存储细节
10.1,存储时长
10.2,存储地点
10.3,处理方法
11,个人信息安全
12,未成年人信息
13,非个保法要求
13.1,COOKIES
13.2,其他法律法规
14,其他
